example,month,half_month,day,day_of_year,leap_example,leap_month,leap_half_month,leap_day
2001-06-28,6,6.7,28,179,2000-06-27,6,6.7,27
2001-06-29,6,6.7,29,180,2000-06-28,6,6.7,28
2001-06-30,6,6.7,30,181,2000-06-29,6,6.7,29
2001-07-01,7,7.3,1,182,2000-06-30,6,6.7,30
2001-07-02,7,7.3,2,183,2000-07-01,7,7.3,1
2001-07-03,7,7.3,3,184,2000-07-02,7,7.3,2
2001-07-04,7,7.3,4,185,2000-07-03,7,7.3,3
2001-07-05,7,7.3,5,186,2000-07-04,7,7.3,4
2001-07-06,7,7.3,6,187,2000-07-05,7,7.3,5
2001-07-07,7,7.3,7,188,2000-07-06,7,7.3,6
2001-07-08,7,7.3,8,189,2000-07-07,7,7.3,7
2001-07-09,7,7.3,9,190,2000-07-08,7,7.3,8
2001-07-10,7,7.3,10,191,2000-07-09,7,7.3,9
2001-07-11,7,7.3,11,192,2000-07-10,7,7.3,10
2001-07-12,7,7.3,12,193,2000-07-11,7,7.3,11
2001-07-13,7,7.3,13,194,2000-07-12,7,7.3,12
2001-07-14,7,7.3,14,195,2000-07-13,7,7.3,13
2001-07-15,7,7.3,15,196,2000-07-14,7,7.3,14
2001-07-16,7,7.7,16,197,2000-07-15,7,7.3,15
2001-07-17,7,7.7,17,198,2000-07-16,7,7.7,16
2001-07-18,7,7.7,18,199,2000-07-17,7,7.7,17
2001-07-19,7,7.7,19,200,2000-07-18,7,7.7,18
2001-07-20,7,7.7,20,201,2000-07-19,7,7.7,19
2001-07-21,7,7.7,21,202,2000-07-20,7,7.7,20
2001-07-22,7,7.7,22,203,2000-07-21,7,7.7,21
2001-07-23,7,7.7,23,204,2000-07-22,7,7.7,22
2001-07-24,7,7.7,24,205,2000-07-23,7,7.7,23
2001-07-25,7,7.7,25,206,2000-07-24,7,7.7,24
2001-07-26,7,7.7,26,207,2000-07-25,7,7.7,25
2001-07-27,7,7.7,27,208,2000-07-26,7,7.7,26
2001-07-28,7,7.7,28,209,2000-07-27,7,7.7,27
2001-07-29,7,7.7,29,210,2000-07-28,7,7.7,28
